Company Name,Slogan,Amount Raised,Year,Stage,Business Model,Image URL,Full Description,PDF URL,Investors,About,Industry,Tags,Customer Model,Website,Legal Name,Type
Mistral,"Mistral AI is assembling a world-class team to develop the best generative AI models, aiming to serve as a European counterpoint to US companies like OpenAI.",$105M,2023,Seed,B2C,/img/logos/mistral.png,"Eyebrows were raised after Paris-based AI startup Mistral raised â¬105m with no product, a mere four weeks after launching. While some welcomed the raise as a milestone for European tech, others saw it as sign of AI hype reaching a feverish peak.Most surprisingly, Mistral did not even use a pitch deck: in the style of Rippling and Airbase, the company raised millions with a simple memo written in Google Docs.Their pitch memo focuses on two main selling points: 1) that Europe has âyet to see the appearance of a serious contenderâ in building foundational models, and that Mistral will play a big role in this âmajor geopolitical issueâ, and 2) embracing an open-source approach (unlike OpenAI's âblack boxâ system) will make it easier for companies to build âbetter, fasterâ products. The company raised from notable investors including Lightspeed Ventures, French billionaire Xavier Niel and former Google CEO Eric Schmidt.",https://drive.google.com/file/d/1yxU5NpR1DWEYhLO_4HNryYmzqll2CE2Q/preview?usp=drivesdk,"VC + Angels , Lightspeed, Xavier Niel, Eric Schmidt","Mistral AI is assembling a world-class team to develop the best generative AI models, aiming to serve as a European counterpoint to US companies like OpenAI.",AI,"Big Data, Analytics, Data, SaaS, Software, AI, Artifical Intelligence, Machine Learning",B2B,mistral.ai,Mistral,ST
Shopify,"Shopify is a powerful, reliable, and scalable cloud-based ecommerce platform designed for small and medium-sized businesses looking to start their online store today. Shopify raised $66M in 2016 with this deck.",$66M,2016,Late Stage,B2B,https://logo.clearbit.com/shopify.com,"Shopify Inc., a commerce company, provides a commerce platform and services in Canada, the United States, the United Kingdom, Australia, Latin America, and internationally. The company's platform provides merchants to run their business in various sales channels, including web and mobile storefronts, physical retail locations, pop-up shops, social media storefronts, native mobile apps, buy buttons, and marketplaces and enables to manage products and inventory, process orders and payments, fulfill and ship orders, new buyers and build customer relationships, source products, leverage analytics and reporting, and access financing. It also sells custom themes and apps, and registration of domain names. The company was formerly known as Jaded Pixel Technologies Inc. and changed its name to Shopify Inc. in November 2011. Shopify Inc. was incorporated in 2004 and is headquartered in Ottawa, Canada.",https://www.slideshare.net/slideshow/embed_code/key/xgbABGgYRImqI0,"VC, Corporate","Shopify is a powerful, reliable, and scalable cloud-based ecommerce platform designed for small and medium-sized businesses looking to start their online store today.",Retail,"Retail, Software",B2B,shopify.com,Shopify,ST
Tesla,"Tesla Motors specializes in developing a full range of electric vehicles, from performance cars to family sedans. Tesla raised $192M in 2011 with this deck.",$192M,2017,Late Stage,B2C,/img/logos/tesla.png,"Tesla, Inc. designs, develops, manufactures, leases, and sells electric vehicles, and energy generation and storage systems in the United States, China, and internationally. The company operates in two segments, Automotive, and Energy Generation and Storage. The Automotive segment offers electric vehicles, as well as sells automotive regulatory credits. It provides sedans and sport utility vehicles through direct and used vehicle sales, a network of Tesla Superchargers, and in-app upgrades and purchase financing and leasing services. This segment is also involved in the provision of non-warranty after-sales vehicle services, sale of used vehicles, retail merchandise, and vehicle insurance, as well as sale of products through its subsidiaries to third party customers; services for electric vehicles through its company-owned service locations, and Tesla mobile service technicians; and vehicle limited warranties and extended service plans. The Energy Generation and Storage segment engages in the design, manufacture, installation, sale, and leasing of solar energy generation and energy storage products, and related services to residential, commercial, and industrial customers and utilities through its website, stores, and galleries, as well as through a network of channel partners. This segment also offers service and repairs to its energy product customers, including under warranty; and various financing options to its solar customers. The company was formerly known as Tesla Motors, Inc. and changed its name to Tesla, Inc. in February 2017. Tesla, Inc. was founded in 2003 and is headquartered in Palo Alto, California.",https://www.slideshare.net/slideshow/embed_code/key/tFCB68UNqKrxWj,Corporate,"Tesla Motors specializes in developing a full range of electric vehicles, from performance cars to family sedans.",Transportation,"Transportation, Energy, CleanTech, IoT, Manufacturing",B2C,tesla.com,Tesla,ST
WeWork,WeWork is a commercial real estate company that provides beautiful workspaces and serves communities by providing services. WeWork raised $335M in 2014 with this deck.,$335M,2014,Late Stage,B2B,/img/logos/wework.jpg,"WeWork Companies Inc. operates as a real estate owners and developers. The Company offers shared office space for a monthly fee that includes Internet, phone service, mail handling, and other amenities. WeWork serves customers worldwide.
 Download the template →The rise (and fall) of WeWork has become an indelible part of venture capital lore: founded in 2010, the company rapidly expanded to 800+ locations, 15,000 employees, and over half a million members. WeWork raised billions in funding, reaching an astronomical $10B valuation â before imploding pre-IPO due to questionable financials.Nevertheless, founders can learn valuable lessons from the early example of WeWork: in particular, the company released a copy of the 2014 pitch deck which helped them close a $355M Series D round (at a $5B valuation) in funding from leading investors like Goldman Sachs, JP Morgan Chase, Benchmark Capital & Harvard Management.",https://www.slideshare.net/slideshow/embed_code/key/peDgvutKWr2kae,Corporate,WeWork is a commercial real estate company that provides beautiful workspaces and serves communities by providing services.,Proptech,"Proptech, Collaboration, Real Estate",B2B,wework.com,WeWork,ST
Airbnb,Airbnb is one of the world's largest marketplaces for listing and finding accommodations of local hosts all around the world. It is estimated to be worth about $38 billion.With the help of this pitch deck Airbnb was able to raise $600K in funding in 2008.Airbnb has raised a total of $5.4B in funding over 16 rounds AirBnB raised $600k in 2008 with this deck.,$600K,2008,Seed,"B2C, B2B",/img/logos/airbnb.png,"Airbnb, Inc., together with its subsidiaries, operates a platform for stays and experiences to guests worldwide. The company's marketplace model connects hosts and guests online or through mobile devices to book spaces and experiences. It primarily offers private rooms and luxury villas. The company was formerly known as AirBed & Breakfast, Inc. and changed its name to Airbnb, Inc. in November 2010. Airbnb, Inc. was founded in 2007 and is headquartered in San Francisco, California.",https://www.slideshare.net/slideshow/embed_code/key/KOKP6U9G6TYILf,,Airbnb is one of the world's largest marketplaces for listing and finding accommodations of local hosts all around the world. It is estimated to be worth about $38 billion.With the help of this pitch deck Airbnb was able to raise $600K in funding in 2008.Airbnb has raised a total of $5.4B in funding over 16 rounds,Travel & Events,Travel & Events,,airbnb.com,AirBnB,ST
Facebook,"Facebook is a social network that connects you with recent grads, classmates, old friends, and distant relatives. This presentation was used to pitch Facebook to advertisers around the same time they raised $500k from PayPal co-founder Peter Thiel.",$500k,2004,Early Stage,B2B2C,/img/logos/facebook.png,"Facebook, Inc. operates a social networking website. The Company website allows people to communicate with their family, friends, and coworkers. Facebook develops technologies that facilitate the sharing of information, photographs, website links, and videos. Facebook users have the ability to share and restrict information based on their own specific criteria.",https://www.slideshare.net/slideshow/embed_code/key/ns8gcypQTWIeal,"VC, Corporate","Facebook is a social network that connects you with recent grads, classmates, old friends, and distant relatives.",Social Media,"Social Media, IT",B2B2C,facebook.com,Facebook,ST
Yuga Labs,Yuga Labs is the creator of Bored Ape Yacht Club and owner of the most valuable NFT projects on the market (over $3B in trading volume). Yuga Labs raised $450M in 2022 with this deck.,$450M,2022,Series A,B2C,/img/logos/yuga-labs.png,"Yuga Labs, the company that created the wildly popular Bored Ape Yacht Club NFT collection, is hoping to make hundreds of millions of dollars by selling off virtual plots of land. According to a leaked pitch deck obtained by The Block, the company also plans to launch a sweeping new metaverse initiative, as well as its own token.",https://drive.google.com/file/d/1BQB_y1E5XgVv9kzEBHgxqczOtA5Ev49k/preview,$4B,Yuga Labs is the creator of Bored Ape Yacht Club and owner of the most valuable NFT projects on the market (over $3B in trading volume).,Crypto,Crypto,B2C,www.yugalabs.io,Yuga Labs,ST
Perplexity AI,Perplexity AI is a chatbot-style search engine that uses AI to search the web.,$73.6M,2024,Series B,B2B,https://logo.clearbit.com/www.perplexity.ai/,"Perplexity AI hopes to take on Google with its chatbot-style, AI-powered search engine. The company was founded in August 2022 by Aravind Srinivas, Denis Yarats, Johnny Ho, and Andy Konwinski. By March 2023, Perplexity stated it had reached 2 million monthly active users in the four months since publicly launching. As of Jan 2024, Perplexity's AI ""answer engine"" is used by about 10 million people every month.

Perplexity AI has raising over $100M in funding from notable investors like Jeff Bezos, Tobias Lutke (Amazon), Naval Ravikant (AngelList), NVIDIA, and more, reaching a $520M valuation in their most recent Series B raise.",https://drive.google.com/file/d/1DT-p1-y7zQ5kqh61iegs0jwQfncmi4Ys/preview,VC + Angel,Perplexity AI is a chatbot-style search engine that uses AI to search the web.,AI,"Artificial Intelligence, AI, Machine Learning, AI/ML, Generative AI, GenAI, Search",Other,https,Perplexity AI,ST
Eleven Labs,"Eleven Labs offers AI text-to-speech (TTS) dubbing software to generate lifelike speech in any language and voice.
",$2M,2023,Pre-Seed,B2B,https://logo.clearbit.com/elevenlabs.io,"ElevenLabs is a voice AI research & deployment company with a mission to make content universally accessible in any language & voice. Their artificial intelligence platform creates realistic, versatile and contextually-aware AI audio, providing the ability to generate speech in hundreds of new and existing voices in over 20 languages.

ElevenLabs was co-founded in 2022 by Piotr Dabkowski, an ex-Google machine learning engineer and Mati Staniszewski, an ex-Palantir deployment strategist. Both were raised in Poland, and their inspiration for founding ElevenLabs reportedly came from watching inadequately dubbed American films.

In January 2023, ElevenLabs publicly released its beta platform after raising a $2M pre-seed round with this 11-slide deck, backed by Credo Ventures and Concept Ventures. In June of the same year, ElevenLabs raised a $19 million Series A funding round at a valuation of about $100 million, despite the company having no office and only 15 employees. By January 2024, ElevenLabs achieved unicorn status with a $1.1B valuation on their $80M Series A led by Andreesen Horowitz.",https://drive.google.com/file/d/16p8InLz7fl4OV2LXHKbLSGlVP7X34uUm/preview,"VC � Credo Ventures, Concept Ventures",ElevenLabs offers AI text-to-speech (TTS) dubbing software to generate lifelike speech in any language and voice.,AI,"AI, Artificial Intelligence, Text-to-Speech, TTS, Audio, Dubbing, Podcast",SaaS,https,ElevenLabs,ST
LinkedIn,"LinkedIn is the world�s largest professional network on the Internet. It helps businesses and professionals connect and exchange ideas, information, and opportunities. Linkedin raised $10M in 2014 with this deck.",$10M,2014,Series B,"B2B, B2C",/img/logos/linkedin.png,"LinkedIn is the world's largest online professional network. Launched on May 5, 2003, the platform is primarily used for professional networking and career development, and allows job seekers to post their CVs and employers to post jobs.",https://www.slideshare.net/slideshow/embed_code/key/CbuIohJKKg4hfa,"VC, Corporate","LinkedIn is the worldâs largest professional network on the Internet. It helps businesses and professionals connect and exchange ideas, information, and opportunities.",Social Media,"Social Media, HR","B2B, B2C",linkedin.com,LinkedIn,ST
